#{"t_start": 1785149368.139254, "env_id": "None"}
r,l,t
-1199.439967,52,5.518651
-243.518901,52,5.532047
-223.77281,52,5.545449
-278.622717,52,5.558532
-1015.159433,52,5.570477
-228.88127,52,5.584144
-259.818259,52,5.596989
-365.809974,52,5.609713
-273.413103,52,5.622141
-261.482597,52,5.634512
-251.175841,52,5.646859
-260.605223,52,5.658471
-277.517588,52,5.669762
-297.827276,52,5.68222
-279.924436,52,5.693692
-287.604158,52,5.704923
-241.456625,52,5.716277
-256.265574,52,5.727937
-291.094014,52,5.744209
-233.596684,52,5.758616
-509.801288,52,5.772886
-238.950595,52,5.788987
-278.600501,52,5.802486
-238.940269,52,5.815005
-262.135334,52,5.827017
-284.500898,52,5.842303
-243.083371,52,5.855367
-268.727176,52,5.86809
-288.401431,52,5.880384
-282.13858,52,5.894608
-270.702275,52,5.90888
-567.643028,52,5.922167
-264.745925,52,5.935797
-464.115552,52,5.95171
-282.334442,52,5.963441
-256.112815,52,5.974679
-288.962151,52,5.985765
-284.323931,52,5.997098
-434.51975,52,6.010663
-438.887822,52,6.023485
-417.60796,52,6.035535
-398.966795,52,6.048486
-230.074105,52,6.060742
-273.518195,52,6.072396
-267.829646,52,6.0837
-278.740195,52,6.095823
-278.278771,52,6.107361
-316.269415,52,6.118741
-256.554952,52,6.129942
-394.047528,52,6.141276
-313.109457,52,6.15304
-262.233764,52,6.164133
-263.479484,52,6.175796
-1007.459953,52,6.188069
-450.309116,52,6.199634
-280.627849,52,6.211308
-254.136944,52,6.222711
-280.810838,52,6.23498
-272.118103,52,6.246289
-271.392923,52,6.257711
-228.268679,52,6.268819
-252.583934,52,6.28035
-259.454111,52,6.292213
-373.210825,52,6.303837
-256.552136,52,6.315216
-227.675872,52,6.327315
-253.11211,52,6.339166
-264.705051,52,6.350877
-280.688621,52,6.362182
-246.049201,52,6.373533
-267.179535,52,6.385255
-403.299144,52,6.396696
-346.008987,52,6.408373
-277.719741,52,6.420924
-384.674952,52,6.432227
-263.789217,52,6.44374
-262.537579,52,6.455382
-404.917726,52,6.467427
-270.75192,52,6.478891
-270.154212,52,6.490407
-279.238524,52,6.501886
-755.729523,52,6.513458
-260.953776,52,6.525366
-251.98212,52,6.53703
-252.56458,52,6.548321
-262.298222,52,6.560712
-252.946065,52,6.572384
-233.576639,52,6.583897
-264.674856,52,6.595395
-259.037503,52,6.607302
-278.265909,52,6.619195
-278.334158,52,6.630605
-945.867938,52,6.642394
-268.049263,52,6.655647
-258.47863,52,6.667632
-251.980321,52,6.679453
-270.782392,52,6.691135
-243.096022,52,6.703553
-266.952727,52,6.715203
-301.973076,52,6.726651
-218.834892,52,6.738224
-259.400313,52,6.750261
-249.73803,52,6.762681
-237.574199,52,6.77486
-241.064436,52,6.786469
-241.340498,52,6.798822
-253.627712,52,6.811045
-261.225457,52,6.822877
-245.381184,52,6.834498
-272.876356,52,6.846493
-765.376153,52,6.858366
-410.890542,52,6.870565
-251.803217,52,6.88253
-281.622687,52,6.895271
-252.257754,52,6.907639
-205.161129,52,6.919392
-237.422786,52,6.931072
-318.754879,52,6.943407
-247.739306,52,6.955533
-302.413268,52,6.967425
-262.531955,52,6.979258
-223.178167,52,6.991908
-218.37863,52,7.003953
-293.849281,52,7.015851
-272.824954,52,7.027542
-228.84828,52,7.039632
-242.442976,52,7.051754
-210.355453,52,7.063826
-216.728699,52,7.075684
-222.559339,52,7.088233
-263.835405,52,7.100148
-258.917842,52,7.112281
-250.778389,52,7.124051
-236.746597,52,7.136808
-250.445039,52,7.148736
-267.802343,52,7.160641
-262.456453,52,7.172355
-270.71219,52,7.18471
-502.991123,52,7.196892
-225.763626,52,7.209062
-240.772688,52,7.220993
-253.580192,52,7.23368
-217.914957,52,7.245572
-251.303657,52,7.257505
-231.433491,52,7.26937
-251.229239,52,7.281589
-230.387422,52,7.294108
-797.293551,52,7.306306
-357.055875,52,7.318347
-239.816201,52,7.330744
-258.257826,52,7.343037
-229.850117,52,7.354904
-238.174952,52,7.366666
-335.216014,52,7.378729
-344.241355,52,7.391296
-231.190641,52,7.403542
-227.1299,52,7.415552
-254.638694,52,7.428352
-224.556174,52,7.440621
-243.049999,52,7.452359
-421.995826,52,7.464356
-201.374041,52,7.476567
-194.230568,52,7.488899
-624.687698,52,7.500845
-618.90091,52,7.512949
-238.054605,52,7.525948
-230.456153,52,7.538452
-307.828984,52,7.550436
-241.609931,52,7.562369
-238.788773,52,7.574547
-225.642175,52,7.586844
-247.630876,52,7.598666
-184.944092,52,7.610955
-215.692041,52,7.623945
-360.350068,52,7.636208
-214.869728,52,7.648203
-261.878208,52,7.659898
-331.065479,52,7.672678
-453.146197,52,7.684953
-202.732413,52,7.696983
-211.568201,52,7.708907
-341.759955,52,7.721986
-231.175532,52,7.734201
-231.362483,52,7.746164
-244.315888,52,7.758092
-227.288763,52,7.770616
-512.192184,52,7.782386
-235.836812,52,7.794579
-195.21478,52,7.806627
-286.728297,52,7.819475
-249.234693,52,7.831517
-248.294163,52,7.843516
-225.472284,52,7.855411
-356.515904,52,7.867964
-226.486922,52,7.880372
-256.479649,52,7.892718
-317.753352,52,7.904851
-284.398115,52,7.917768
-224.077471,52,7.92966
-236.588957,52,7.941497
-255.96059,52,7.953318
-515.9282,52,7.965381
-235.835788,52,7.977679
-244.014614,52,7.989891
-252.003365,52,8.001675
-219.154261,52,8.01452
-247.858551,52,8.026687
-207.971164,52,8.038664
-187.309403,52,8.050669
-838.029911,52,8.062923
-234.013919,52,8.075438
-371.10459,52,8.087546
-238.626687,52,8.099498
-381.261683,52,8.112535
-307.387235,52,8.124713
-276.276256,52,8.136615
-218.101454,52,8.148453
-404.451246,52,8.160615
-303.320977,52,8.172815
-223.734172,52,8.1851
-444.151107,52,8.197149
-280.480168,52,8.209779
-258.663941,52,8.222175
-242.752275,52,8.234258
-252.99716,52,8.246154
-385.07258,52,8.258384
-281.081407,52,8.270582
-240.632025,52,8.282443
-529.785816,52,8.294685
-212.608378,52,8.307541
-235.120184,52,8.319847
-286.059882,52,8.331836
-252.892719,52,8.343824
-476.904505,52,8.355923
-258.008255,52,8.368106
-229.445565,52,8.380267
-232.306779,52,8.39244
