rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/loss,time/episodes,train/n_updates,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,time/fps
-344.3882915,208,0.001,5.106631755828857,4,26,0.9901200000000001,52.0,0,2987
-327.85758987500003,416,0.001,2.638747215270996,8,78,0.9802399999999998,52.0,0,3230
-316.22102825,624,0.001,0.1910526156425476,12,130,0.9703599999999999,52.0,0,3644
-318.676265125,832,0.001,0.6525970101356506,16,182,0.96048,52.0,0,3904
-313.48474980000003,1040,0.001,2.001133918762207,20,234,0.9506000000000001,52.0,0,4099
-341.1482450416667,1248,0.001,0.3750070333480835,24,286,0.9407199999999998,52.0,0,4230
-333.4301651071429,1456,0.001,2.6866893768310547,28,338,0.9308399999999999,52.0,0,4331
-332.84993959375004,1664,0.001,0.3085801899433136,32,390,0.92096,52.0,0,4405
-327.82287472222225,1872,0.001,1.259602427482605,36,442,0.9110800000000002,52.0,0,4471
-336.875786575,2080,0.001,1.3611245155334473,40,494,0.9011999999999998,52.0,0,4528
-340.53413759090904,2288,0.001,2.897815227508545,44,546,0.89132,52.0,0,4560
-346.8425290833334,2496,0.001,1.6163372993469238,48,598,0.8814400000000001,52.0,0,4593
-342.8736293461539,2704,0.001,0.5423589944839478,52,650,0.8715600000000002,52.0,0,4623
-338.47981180357147,2912,0.001,1.077942132949829,56,702,0.8616799999999998,52.0,0,4650
-370.62710315000004,3120,0.001,9.201262474060059,60,754,0.8518,52.0,0,4674
-375.525886015625,3328,0.001,0.6660085916519165,64,806,0.8419200000000001,52.0,0,4688
-392.96850624999996,3536,0.001,1.8137500286102295,68,858,0.8320399999999998,52.0,0,4705
-435.31705456944445,3744,0.001,1.4592714309692383,72,910,0.8221599999999999,52.0,0,4720
-427.9010509342105,3952,0.001,4.712418079376221,76,962,0.81228,52.0,0,4731
-451.8858695375,4160,0.001,2.4561426639556885,80,1014,0.8024000000000001,52.0,0,4739
-450.3587914404761,4368,0.001,1.1302005052566528,84,1066,0.7925200000000003,52.0,0,4750
-448.2280849318182,4576,0.001,1.5387541055679321,88,1118,0.7826399999999999,52.0,0,4752
-467.641004,4784,0.001,5.462713718414307,92,1170,0.7727600000000001,52.0,1,4762
-465.7820281145834,4992,0.001,8.06624984741211,96,1222,0.7628800000000002,52.0,1,4763
-490.62005424,5200,0.001,12.094561576843262,100,1274,0.7529999999999998,52.0,1,4767
-501.6796863,5408,0.001,5.388927936553955,104,1326,0.74312,52.0,1,4770
-525.25801806,5616,0.001,7.445261001586914,108,1378,0.7332400000000001,52.0,1,4771
-536.38027816,5824,0.001,11.600119590759277,112,1430,0.7233600000000002,52.0,1,4771
-566.15428822,6032,0.001,5.564644813537598,116,1482,0.7134799999999999,52.0,1,4770
-586.1612645800001,6240,0.001,7.855997085571289,120,1534,0.7036,52.0,1,4770
-603.9576832700001,6448,0.001,13.339807510375977,124,1586,0.6937200000000001,52.0,1,4773
-637.30410541,6656,0.001,10.796355247497559,128,1638,0.6838400000000002,52.0,1,4769
-646.9805900399999,6864,0.001,4.662383079528809,132,1690,0.6739599999999999,52.0,1,4767
-674.1613423099999,7072,0.001,8.091230392456055,136,1742,0.66408,52.0,1,4765
-715.18276504,7280,0.001,9.130443572998047,140,1794,0.6542000000000001,52.0,1,4766
-736.5250123999999,7488,0.001,1.7927300930023193,144,1846,0.6443199999999998,52.0,1,4766
-751.1721883799999,7696,0.001,3.2512283325195312,148,1898,0.6344399999999999,52.0,1,4763
-769.8532520800001,7904,0.001,10.014503479003906,152,1950,0.62456,52.0,1,4766
-802.2989760699999,8112,0.001,21.225074768066406,156,2002,0.6146800000000001,52.0,1,4763
-831.42585602,8320,0.001,10.598356246948242,160,2054,0.6048000000000002,52.0,1,4764
-878.1024571800001,8528,0.001,2.2376580238342285,164,2106,0.5949199999999999,52.0,1,4762
-944.7976177400001,8736,0.001,13.520776748657227,168,2158,0.58504,52.0,1,4762
-913.7589088200001,8944,0.001,9.10194206237793,172,2210,0.5751600000000002,52.0,1,4762
