#{"t_start": 1785149444.875367, "env_id": "None"}
r,l,t
-7075.779942,52,4.052999
-8259.749837,52,4.069185
-12426.334082,52,4.085341
-6938.859371,52,4.102978
-10983.990976,52,4.119453
-6038.307547,52,4.136623
-12526.906593,52,4.152891
-11150.56904,52,4.168899
-10573.56273,52,4.185741
-9304.717533,52,4.201909
-5951.350378,52,4.218766
-7156.870786,52,4.23509
-7736.041584,52,4.251217
-8961.804841,52,4.269306
-9073.042409,52,4.286219
-8492.703661,52,4.304431
-9639.648019,52,4.321939
-12533.479727,52,4.338248
-9109.827345,52,4.355163
-7580.580897,52,4.371476
-6534.395017,52,4.388358
-8800.710473,52,4.404473
-13676.444183,52,4.42088
-10622.649839,52,4.438857
-9605.43987,52,4.455136
-9233.524696,52,4.47218
-8940.062807,52,4.488219
-6866.814863,52,4.504412
-12034.225498,52,4.521292
-9188.298009,52,4.537396
-7472.554924,52,4.554227
-7567.720061,52,4.570275
-8931.653282,52,4.587556
-12676.308586,52,4.604961
-10666.653792,52,4.621366
-13843.455704,52,4.63841
-9612.330438,52,4.654581
-10364.04898,52,4.670616
-6906.86015,52,4.68755
-7557.307901,52,4.703827
-13198.704471,52,4.720813
-12273.479981,52,4.737161
-10069.839822,52,4.754031
-10431.698502,52,4.771145
-12947.371864,52,4.787331
-8574.315707,52,4.804412
-7684.371497,52,4.820498
-9561.7335,52,4.836579
-7234.530091,52,4.853588
-10308.27495,52,4.869594
-10862.25262,52,4.886453
-13256.349217,52,4.903392
-10971.05129,52,4.919922
-9554.165744,52,4.93692
-8801.226336,52,4.952991
-11982.509756,52,4.969848
-12037.302497,52,4.985978
-8387.620593,52,5.002081
-9322.05162,52,5.018862
-7398.046638,52,5.034866
-8479.063317,52,5.051684
-8727.949718,52,5.068986
-9795.525998,52,5.085214
-7659.365083,52,5.102136
-11640.608661,52,5.118316
-11902.574162,52,5.135258
-9257.941446,52,5.151362
-10173.293041,52,5.167448
-13188.507201,52,5.184282
-9597.220047,52,5.200303
-7883.548684,52,5.217331
-9801.695578,52,5.234569
-8072.998176,52,5.250989
-12840.75099,52,5.268121
-13823.153514,52,5.284249
-9037.984104,52,5.301034
-12305.958157,52,5.317199
-7769.856948,52,5.333317
-8104.69455,52,5.350144
-14224.232007,52,5.366187
-8601.937128,52,5.38394
-8209.795823,52,5.400273
-7902.027284,52,5.416608
-14210.676532,52,5.433623
-8471.607686,52,5.449878
-11057.094698,52,5.466689
-9724.4196,52,5.482782
-8264.500792,52,5.49885
-9154.555121,52,5.515578
-10482.085898,52,5.53181
-8992.467394,52,5.549793
-8793.080595,52,5.565874
-8083.774674,52,5.582043
-8524.88181,52,5.599036
-14336.259688,52,5.615217
-8812.708973,52,5.632104
-8997.696207,52,5.648164
-9827.384121,52,5.664274
-10137.602192,52,5.681097
-11682.821649,52,5.697783
-10501.575853,52,5.715366
-10762.729397,52,5.731641
-10921.632013,52,5.747777
-9313.498509,52,5.76478
-8069.48371,52,5.781128
-10062.391046,52,5.7981
-8679.747135,52,5.814109
-7103.458901,52,5.830119
-2571.648419,52,5.846977
-6916.997085,52,5.864235
-5228.717842,52,5.88135
-6645.223097,52,5.897729
-13790.950221,52,5.914008
-9189.680279,52,5.930916
-7392.158001,52,5.947006
-7402.766757,52,5.963764
-9284.32393,52,5.979855
-8097.329923,52,5.99602
-7906.318917,52,6.012986
-6803.387,52,6.030231
-6922.253254,52,6.047516
-5779.640388,52,6.063839
-5081.557531,52,6.080095
-7077.966557,52,6.097076
-7527.739278,52,6.113264
-10124.499436,52,6.130215
-4457.293055,52,6.146306
-8465.555123,52,6.162273
-10761.984521,52,6.180013
-10675.77307,52,6.196462
-8673.470007,52,6.213512
-8480.678433,52,6.229827
-4171.859075,52,6.24605
-7273.741564,52,6.262939
-6502.232198,52,6.279173
-6807.142672,52,6.296094
-6460.619938,52,6.312217
-6268.250451,52,6.328406
-5147.023664,52,6.346301
-5009.682354,52,6.362789
-8102.406698,52,6.379889
-7858.192065,52,6.396252
-4807.917113,52,6.412446
-2413.124567,52,6.42956
-6323.042965,52,6.445726
-6101.656361,52,6.462852
-8343.59333,52,6.478931
-4797.768524,52,6.495245
-4340.677744,52,6.513569
-10761.479163,52,6.529866
-6767.521052,52,6.54682
-8941.151276,52,6.562935
-5638.526521,52,6.579019
-8275.494754,52,6.595944
-3948.277477,52,6.61205
-12528.665662,52,6.628872
-9829.089526,52,6.645213
-5844.107238,52,6.66218
-6450.381459,52,6.679552
-6889.249079,52,6.695764
-9442.912522,52,6.71266
-7114.486954,52,6.728941
-10960.03768,52,6.745142
-8077.864718,52,6.761989
-9954.715893,52,6.778084
-12891.506865,52,6.794935
-13501.855061,52,6.811187
-12379.430961,52,6.828494
-9633.922834,52,6.845829
-12082.040972,52,6.861988
-8329.306758,52,6.878742
-9045.915649,52,6.894962
-9458.378472,52,6.911138
-8552.952499,52,6.92792
-10294.938056,52,6.943852
-8736.087644,52,6.960588
-11579.931642,52,6.97741
-10990.398122,52,6.994002
-7476.778596,52,7.011075
-10632.724348,52,7.027196
-10424.448632,52,7.04422
-10940.823797,52,7.060303
-12011.673498,52,7.076297
-10649.26271,52,7.09301
-9421.771508,52,7.109091
-8129.546204,52,7.12588
-9423.345368,52,7.142878
-9640.846428,52,7.159322
-6727.626436,52,7.176406
-2931.339987,52,7.192654
-5801.296824,52,7.209668
-853.202933,52,7.226034
-1470.25129,52,7.242285
-5240.969936,52,7.259301
-4070.552368,52,7.27555
-5636.286312,52,7.292765
-6875.093679,52,7.310053
-5199.467661,52,7.326587
-7294.864645,52,7.343803
-6354.465788,52,7.360189
-4473.146987,52,7.377243
-4399.483619,52,7.393369
-7179.590483,52,7.409466
-10265.263266,52,7.426294
-5228.126668,52,7.442514
-5045.582733,52,7.460495
-6381.021543,52,7.477052
-4301.756443,52,7.493664
-5870.977574,52,7.510884
-2817.817779,52,7.527139
-2603.703596,52,7.544257
-7004.775845,52,7.560429
-4331.218466,52,7.576508
-6151.966229,52,7.593449
-7103.609882,52,7.609726
-4891.357462,52,7.627487
-8621.019402,52,7.644162
-5112.898069,52,7.660641
-5707.494104,52,7.677734
-10439.24744,52,7.694027
-10107.566906,52,7.710964
-7891.308516,52,7.727194
-10915.044441,52,7.743301
-6028.345936,52,7.760242
-6485.965983,52,7.776893
-5787.438193,52,7.794374
-7018.115171,52,7.810653
-9975.237679,52,7.826989
-10203.480458,52,7.843857
-8714.344977,52,7.860181
-10696.152217,52,7.877116
-7028.898803,52,7.893223
-8401.783504,52,7.909254
-9088.424389,52,7.925991
-8271.860045,52,7.942933
-12639.436304,52,7.960605
-7427.93818,52,7.976869
-9714.336953,52,7.993092
-7745.358194,52,8.010029
-12512.307994,52,8.026236
-12939.742162,52,8.04314
-11807.871314,52,8.059183
-10185.264701,52,8.075158
-10877.406621,52,8.092125
-10161.082319,52,8.108995
-14849.469143,52,8.125962
-8143.23677,52,8.142378
-9845.509355,52,8.179035
-6085.552913,52,8.196568
-7730.620888,52,8.212904
-7976.194568,52,8.229795
-13333.062346,52,8.245911
-10462.441361,52,8.26244
-10393.694479,52,8.281227
-7296.699134,52,8.297692
-12286.542717,52,8.314884
-10468.175671,52,8.33111
-8851.316088,52,8.347295
-8546.890968,52,8.364328
-6487.289313,52,8.380494
-6145.62829,52,8.397518
-9755.665272,52,8.41374
-7760.822058,52,8.429842
-8868.797735,52,8.447778
-6503.357812,52,8.464243
-8025.525318,52,8.48118
-7373.819561,52,8.497592
-8989.831494,52,8.513819
-6564.315449,52,8.530771
-9217.904057,52,8.546894
-8726.767685,52,8.563844
-6857.351772,52,8.579949
-5102.451569,52,8.596212
-8878.238306,52,8.614115
-6886.391885,52,8.630586
-4248.86524,52,8.647622
-6408.861394,52,8.663995
-4383.428439,52,8.680247
-3784.324233,52,8.697277
-8261.337488,52,8.71344
-3634.123138,52,8.730425
-5073.728893,52,8.746573
-10502.15597,52,8.763706
-2564.280662,52,8.781032
-4753.291349,52,8.797267
-3936.018982,52,8.814272
-6913.270406,52,8.830424
-6448.541028,52,8.84666
-5387.621802,52,8.863639
-7116.60337,52,8.879742
-8004.108891,52,8.896746
-9098.795655,52,8.913115
-3408.203101,52,8.930779
-2892.788789,52,8.948155
-4077.768999,52,8.964461
-1558.96982,52,8.981543
-3113.250196,52,8.997862
-4651.466887,52,9.014204
-4291.403928,52,9.031266
-5502.755282,52,9.04743
-2462.551115,52,9.064423
-10062.336695,52,9.081735
-3772.701564,52,9.098208
-7151.74687,52,9.115385
-3264.338227,52,9.131768
-4902.710693,52,9.1487
-7475.112479,52,9.16495
-8629.353093,52,9.181144
-7230.730426,52,9.198082
-11206.668727,52,9.214169
-9713.675181,52,9.23116
-7112.779619,52,9.248582
-9554.585739,52,9.264999
-7033.403185,52,9.28255
-6914.888645,52,9.300012
-5432.180565,52,9.318205
-10406.409109,52,9.334988
-7295.861531,52,9.351489
-7146.730177,52,9.368702
-4778.919694,52,9.384995
-8234.154911,52,9.402207
-7293.853052,52,9.419578
-4683.483057,52,9.436326
-4024.08773,52,9.453543
-7192.054995,52,9.470234
-7521.094152,52,9.487273
-3383.612635,52,9.503503
-8036.714843,52,9.519676
-6851.104569,52,9.536723
-6044.304572,52,9.553041
-5392.471209,52,9.570813
-958.620945,52,9.587591
-1499.283749,52,9.604083
-8064.740261,52,9.621397
-6607.787371,52,9.637573
-7458.681564,52,9.654913
-8820.479476,52,9.671272
-4353.754101,52,9.687484
-5632.302009,52,9.704518
-1785.726188,52,9.720991
-4228.265625,52,9.739271
-2558.198004,52,9.755813
-5162.177534,52,9.772234
-6808.973938,52,9.789353
-5976.105566,52,9.805845
-6806.718964,52,9.822847
-6244.735298,52,9.839048
-5980.7448,52,9.855364
-1726.982965,52,9.872394
-6941.921853,52,9.889985
-2612.235126,52,9.907753
-2270.868275,52,9.924175
-3597.67414,52,9.940801
-4927.863448,52,9.958598
-1680.794961,52,9.975135
-3855.892561,52,9.992247
-3365.288221,52,10.008657
-8788.05157,52,10.024861
-4952.177556,52,10.042041
-4047.050422,52,10.059286
-5576.039183,52,10.076881
-5568.747117,52,10.093547
-2713.36051,52,10.10997
-1782.709575,52,10.127055
-4348.94271,52,10.143222
-3220.210421,52,10.160312
-3174.055465,52,10.176631
-6026.434377,52,10.192875
-1764.203919,52,10.210067
-2099.758205,52,10.227212
-1483.392722,52,10.244866
-2247.804017,52,10.26132
-968.573264,52,10.277926
-5701.099658,52,10.295165
-5118.265861,52,10.311349
-4737.950796,52,10.328379
-5229.474353,52,10.344663
-5407.057157,52,10.360928
-3437.965958,52,10.3795
-4388.932,52,10.396393
-1973.791425,52,10.41357
-5379.742488,52,10.43017
-9608.958039,52,10.446466
-3863.081221,52,10.463656
-8234.289879,52,10.47992
-671.994409,52,10.497137
-4156.620736,52,10.513536
-2145.770797,52,10.52983
-2250.996815,52,10.548371
-4545.789444,52,10.564925
-9167.415113,52,10.582136
-6355.281828,52,10.598639
-806.759821,52,10.614987
-7468.58331,52,10.632008
-4798.491331,52,10.648278
-3968.435944,52,10.665274
-765.761435,52,10.681702
-2687.387059,52,10.698306
-6422.737868,52,10.718383
-7456.21903,52,10.737372
-1997.396611,52,10.75697
-2914.57597,52,10.775674
-2819.885878,52,10.794071
-4062.12392,52,10.813442
-2077.931041,52,10.83285
-3325.827532,52,10.853429
-6593.779172,52,10.872403
-3839.763307,52,10.893167
-4373.897225,52,10.915607
-3857.556677,52,10.933443
-6002.618091,52,10.951537
-6855.172166,52,10.967724
-6162.977025,52,10.98404
-8052.832384,52,11.000992
-7079.974739,52,11.017451
-9354.900502,52,11.034631
-4903.006243,52,11.051003
-8495.879334,52,11.068203
-6570.804703,52,11.08538
-4289.84287,52,11.101971
-8953.534799,52,11.119053
-9321.012397,52,11.135214
-3688.11906,52,11.151623
-8543.505187,52,11.168597
-6390.774951,52,11.184904
-4708.845573,52,11.201913
-6801.945435,52,11.218906
-5446.453698,52,11.235711
-8968.938772,52,11.25309
-7771.941021,52,11.269493
-7083.320256,52,11.286585
-6236.060185,52,11.302856
-5065.695146,52,11.319117
-6985.335484,52,11.336178
-7553.455434,52,11.352299
-5814.621213,52,11.369248
-12951.312925,52,11.387028
-7272.511702,52,11.403592
-6110.239542,52,11.420749
-7714.075009,52,11.437253
-4347.311275,52,11.454413
-5531.266528,52,11.471047
-4527.425379,52,11.487307
-5085.649849,52,11.504386
-3428.427556,52,11.520635
-891.238222,52,11.538075
-1709.541035,52,11.556158
-4570.355366,52,11.572855
-3468.292414,52,11.590216
-3021.274953,52,11.606611
-4907.092158,52,11.623734
-3144.867807,52,11.64003
-5893.828,52,11.656392
-6441.934562,52,11.673439
-5128.644001,52,11.689735
-4093.357936,52,11.707466
-3632.455065,52,11.724408
-2150.151869,52,11.740879
-5268.888381,52,11.758144
-8442.060298,52,11.774386
-8826.42631,52,11.791508
-6803.290527,52,11.80769
-3195.17913,52,11.823887
-4310.212599,52,11.840857
-3064.452043,52,11.857336
-1254.978845,52,11.875101
-9427.93524,52,11.891557
-6655.80274,52,11.907993
-5412.6425,52,11.925088
-5043.756408,52,11.941387
-3523.562958,52,11.958393
-606.628982,52,11.974787
-3475.604151,52,11.990974
-4156.889957,52,12.008035
-2908.061551,52,12.025075
-7324.675509,52,12.042969
-2841.674971,52,12.059502
-7014.563143,52,12.07572
-4003.491385,52,12.092845
-7867.162183,52,12.109135
-2747.781274,52,12.126149
-2571.142869,52,12.142428
-7012.562639,52,12.158712
-2172.230081,52,12.175744
-3429.995799,52,12.193144
-3334.392462,52,12.210845
-4009.26347,52,12.227209
-8354.274914,52,12.243529
-6081.209,52,12.260549
-6719.869298,52,12.276835
-5680.037229,52,12.293891
-6448.952969,52,12.310051
-1632.724407,52,12.32634
-4249.103355,52,12.343438
-2166.494731,52,12.360246
-7396.73294,52,12.377515
-5881.142082,52,12.393765
-3279.55523,52,12.410252
-4902.032029,52,12.427215
-5655.231171,52,12.443521
-3093.687889,52,12.460575
-905.268102,52,12.477159
-5781.559959,52,12.493356
-5380.170016,52,12.510931
-7065.749166,52,12.52762
-4996.569136,52,12.544772
-7122.326456,52,12.560871
-4340.53425,52,12.577491
-3233.295755,52,12.594719
-4856.964075,52,12.61099
-4985.178444,52,12.627907
-8539.919792,52,12.644078
-11577.695409,52,12.660153
-5309.078969,52,12.678145
-6951.857857,52,12.694744
-4876.690226,52,12.711833
-6230.691841,52,12.728126
-9094.566995,52,12.74446
-6920.586475,52,12.76136
-10910.16149,52,12.777531
-8354.044231,52,12.794359
-11458.891019,52,12.810453
-8224.157832,52,12.826836
-5147.366026,52,12.844611
-6553.38737,52,12.860928
-6031.321553,52,12.877952
-6801.170463,52,12.894012
-8754.090146,52,12.910063
-6132.117457,52,12.927131
-8592.991506,52,12.943235
-3156.551119,52,12.960229
-9073.807081,52,12.976437
-4076.53295,52,12.994234
-7707.019061,52,13.011856
-7603.919702,52,13.028103
-7578.837309,52,13.045275
-2907.926001,52,13.061591
-3179.195685,52,13.077907
-6832.64297,52,13.094888
-4744.180029,52,13.111257
-4331.742271,52,13.128323
-4924.884843,52,13.144767
-7134.246068,52,13.161575
-11955.207915,52,13.17925
-11489.362727,52,13.195453
-9622.255097,52,13.212468
-9208.264047,52,13.228706
-12677.947506,52,13.244862
-9576.351587,52,13.261645
-7965.413157,52,13.277692
-8913.782619,52,13.294537
-6302.898211,52,13.311439
-9842.837411,52,13.328092
-10031.270224,52,13.345114
-10381.741216,52,13.361328
-6411.791192,52,13.378304
-11510.518709,52,13.394601
-9737.892203,52,13.41064
-8325.391267,52,13.427534
-10475.996924,52,13.443702
-12528.876639,52,13.460509
-9945.341266,52,13.477635
-8130.905162,52,13.494375
-12344.076985,52,13.511352
-10845.719651,52,13.527509
-9588.45383,52,13.5445
-7178.575088,52,13.560754
-6992.170398,52,13.576797
-11993.022981,52,13.593684
-10717.510342,52,13.609836
-7022.046514,52,13.626913
-10752.39274,52,13.644018
-6851.69009,52,13.660524
-9115.961451,52,13.677504
-11334.904769,52,13.693876
-8492.361311,52,13.710737
-8631.657047,52,13.726902
-7637.369032,52,13.74311
-8877.304425,52,13.75988
-6402.568836,52,13.776028
-5699.509254,52,13.794124
-9909.856,52,13.81059
-4374.992235,52,13.826974
-5671.553495,52,13.843857
-5874.505113,52,13.860325
-7024.730223,52,13.877238
-8088.118348,52,13.8934
-6215.587419,52,13.909663
-11390.45793,52,13.926542
-7497.33558,52,13.942725
-6131.018362,52,13.960147
-6171.532574,52,13.976709
-10464.885141,52,13.993112
-8621.900209,52,14.010013
-7394.4876,52,14.026153
-7110.261175,52,14.042993
-8738.484255,52,14.059052
-9958.504323,52,14.075155
-7767.91323,52,14.091868
-10338.932141,52,14.108676
-13300.784594,52,14.126192
-6404.206954,52,14.142525
-10007.772032,52,14.158765
-8577.943004,52,14.175561
-7363.592863,52,14.191551
-9763.125842,52,14.208573
-12914.2006,52,14.224664
-10725.98496,52,14.240631
-12628.191209,52,14.257429
-10417.290261,52,14.274507
-7375.615489,52,14.293531
-10367.52502,52,14.311049
-7108.289114,52,14.328009
-9676.614546,52,14.345031
-12240.836091,52,14.361431
-10719.549921,52,14.378376
-11955.498099,52,14.394616
-10871.095078,52,14.410698
-11568.597488,52,14.427891
-13118.509242,52,14.445158
-11600.434102,52,14.462861
-9726.156494,52,14.47892
-9733.992433,52,14.495401
-12079.779879,52,14.512407
-9554.375381,52,14.528724
-9837.676948,52,14.545678
-11528.751343,52,14.561719
-10374.011617,52,14.57787
-10768.684166,52,14.596314
-10440.874722,52,14.612642
-8407.673461,52,14.629722
-7922.601127,52,14.64595
-10318.822212,52,14.662071
-7937.401528,52,14.679031
-12022.395269,52,14.695184
-9830.668211,52,14.712097
-10507.524912,52,14.728031
-8688.047717,52,14.744059
-12078.198218,52,14.761583
-8352.850667,52,14.778109
-7840.293123,52,14.795261
-12372.424026,52,14.811443
-8826.180899,52,14.827632
-9838.333141,52,14.844463
-10770.277622,52,14.860459
-7652.481053,52,14.877415
-8343.053453,52,14.893488
-9293.082256,52,14.909867
-5969.026801,52,14.927671
-8540.163623,52,14.944046
-6744.864367,52,14.960867
-9551.854509,52,14.977139
-7600.54177,52,14.993445
-13351.647324,52,15.010354
-9013.116101,52,15.02644
-10648.023155,52,15.043154
-11626.439025,52,15.05911
-7966.969171,52,15.076159
-10203.496148,52,15.093456
-9328.095449,52,15.109786
-8729.788636,52,15.128108
-10937.035273,52,15.145597
-10953.099172,52,15.162688
-7704.503546,52,15.179485
-7005.096847,52,15.195625
-9387.697457,52,15.212444
-7124.005277,52,15.229152
-7733.285699,52,15.246386
-6700.851593,52,15.263727
-11034.793314,52,15.279874
-8789.014558,52,15.297064
-6391.735647,52,15.31323
-10534.66473,52,15.329406
-9903.080549,52,15.346226
-8959.554786,52,15.362246
-8722.399716,52,15.379064
-8021.777568,52,15.396203
-11204.539488,52,15.412543
-10834.050043,52,15.429708
-6769.633267,52,15.44593
-5484.559071,52,15.462993
-14479.537827,52,15.479033
-6567.836512,52,15.495494
-9425.790591,52,15.512359
-8734.860971,52,15.528443
-11001.647997,52,15.54535
-6832.662729,52,15.562404
-5926.094513,52,15.578931
-6523.894825,52,15.59584
-6248.00523,52,15.611925
-5758.251383,52,15.628823
-9299.549703,52,15.644915
-9658.435539,52,15.661042
-5408.235096,52,15.677951
-8506.890423,52,15.694005
-6095.192838,52,15.711221
-7040.687175,52,15.727835
-2685.658171,52,15.744467
-3923.574437,52,15.761718
-9789.689327,52,15.777936
-7362.177752,52,15.79493
